Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"9/10/20, 4:59:17 PM",1 ft,0:00:01,0.9 mph,843 ft,317° true,N42° 16.022' W83° 43.888',86.0 °F,88
2,"9/10/20, 4:59:18 PM",1 ft,0:00:01,0.9 mph,843 ft,275° true,N42° 16.022' W83° 43.888',86.0 °F,86
3,"9/10/20, 4:59:19 PM",1 ft,0:00:01,0.9 mph,843 ft,230° true,N42° 16.022' W83° 43.888',86.0 °F,82
4,"9/10/20, 4:59:20 PM",4 ft,0:00:01,2.8 mph,843 ft,193° true,N42° 16.022' W83° 43.889',86.0 °F,82
5,"9/10/20, 4:59:21 PM",17 ft,0:00:02,6 mph,844 ft,168° true,N42° 16.021' W83° 43.889',86.0 °F,82
6,"9/10/20, 4:59:23 PM",34 ft,0:00:02,12 mph,844 ft,124° true,N42° 16.019' W83° 43.888',86.0 °F,81
7,"9/10/20, 4:59:25 PM",22 ft,0:00:01,15 mph,845 ft,106° true,N42° 16.016' W83° 43.882',86.0 °F,83
8,"9/10/20, 4:59:26 PM",23 ft,0:00:01,16 mph,845 ft,95° true,N42° 16.015' W83° 43.877',86.0 °F,82
9,"9/10/20, 4:59:27 PM",58 ft,0:00:02,20 mph,845 ft,90° true,N42° 16.014' W83° 43.872',86.0 °F,82
10,"9/10/20, 4:59:29 PM",117 ft,0:00:04,20 mph,845 ft,88° true,N42° 16.014' W83° 43.859',86.0 °F,82
11,"9/10/20, 4:59:33 PM",18 ft,0:00:01,12 mph,846 ft,91° true,N42° 16.015' W83° 43.833',86.0 °F,82
12,"9/10/20, 4:59:34 PM",23 ft,0:00:03,5 mph,846 ft,83° true,N42° 16.015' W83° 43.829',86.0 °F,82
13,"9/10/20, 4:59:37 PM",8 ft,0:00:02,2.8 mph,846 ft,34° true,N42° 16.015' W83° 43.824',86.0 °F,82
14,"9/10/20, 4:59:39 PM",18 ft,0:00:02,6 mph,845 ft,89° true,N42° 16.016' W83° 43.823',87.8 °F,84
15,"9/10/20, 4:59:41 PM",15 ft,0:00:01,10 mph,846 ft,88° true,N42° 16.016' W83° 43.819',87.8 °F,82
16,"9/10/20, 4:59:42 PM",61 ft,0:00:03,14 mph,846 ft,88° true,N42° 16.017' W83° 43.816',87.8 °F,81
17,"9/10/20, 4:59:45 PM",42 ft,0:00:03,9 mph,848 ft,85° true,N42° 16.017' W83° 43.802',87.8 °F,83
18,"9/10/20, 4:59:48 PM",37 ft,0:00:04,6 mph,848 ft,88° true,N42° 16.017' W83° 43.793',87.8 °F,83
19,"9/10/20, 4:59:52 PM",72 ft,0:00:03,16 mph,848 ft,92° true,N42° 16.018' W83° 43.785',87.8 °F,83
20,"9/10/20, 4:59:55 PM",29 ft,0:00:01,20 mph,849 ft,92° true,N42° 16.017' W83° 43.769',87.8 °F,82
21,"9/10/20, 4:59:56 PM",97 ft,0:00:03,22 mph,850 ft,90° true,N42° 16.017' W83° 43.763',87.8 °F,82
22,"9/10/20, 4:59:59 PM",177 ft,0:00:05,24 mph,851 ft,88° true,N42° 16.017' W83° 43.741',87.8 °F,83
23,"9/10/20, 5:00:04 PM",34 ft,0:00:01,23 mph,853 ft,92° true,N42° 16.018' W83° 43.702',87.8 °F,80
24,"9/10/20, 5:00:05 PM",164 ft,0:00:05,22 mph,854 ft,89° true,N42° 16.018' W83° 43.694',87.8 °F,79
25,"9/10/20, 5:00:10 PM",61 ft,0:00:02,21 mph,855 ft,89° true,N42° 16.019' W83° 43.658',87.8 °F,81
26,"9/10/20, 5:00:12 PM",47 ft,0:00:03,11 mph,855 ft,94° true,N42° 16.019' W83° 43.644',87.8 °F,81
27,"9/10/20, 5:00:15 PM",20 ft,0:00:04,3.5 mph,854 ft,82° true,N42° 16.018' W83° 43.634',87.8 °F,81
